case_id,group,pair,property,mode,source_kind,dimension,lifecycle_status,upper_bound,reason_codes,expected_status,expected_upper_bound,matches_expected,change_from_full,change_reason,suite_sha256
g01-extra-field-hold,1,extra-field-hold,方法返回后字段仍持有资源,without_identity,manual_fixture,held_instances,unknown,,"[""weak_update:instance:g01-extra-field-hold""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g02-single-holder-drop,2,single-holder,唯一持有边被精确删除,without_identity,manual_fixture,held_instances,unknown,,"[""weak_update:instance:g02-single-holder-drop""]",bounded,0,False,True,weak_update:instance:g02-single-holder-drop,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g02-multiple-holder-drop,2,multiple-holders,删除请求边不删除字段边,without_identity,manual_fixture,held_instances,unknown,,"[""weak_update:instance:g02-multiple-holder-drop""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g03-unique-instance,3,unique-instance,recent exact 实例允许强更新,without_identity,manual_fixture,close_obligation,unknown,,"[""weak_update:instance:g03-unique-instance""]",bounded,0,False,True,weak_update:instance:g03-unique-instance,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g03-summary-instance,3,summary-instance,summary 实例的一次释放只能弱更新,without_identity,manual_fixture,close_obligation,unknown,,"[""weak_update:instance:g03-summary-instance""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g04-close-handle,4,close-handle,close 满足显式关闭义务,without_identity,manual_fixture,close_obligation,unknown,,"[""weak_update:instance:g04-close-handle""]",bounded,0,False,True,weak_update:instance:g04-close-handle,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g04-drop-reference,4,drop-reference,解除堆引用不等于 close,without_identity,manual_fixture,close_obligation,unknown,,"[""weak_update:instance:g04-drop-reference""]",obligation_gap,,False,True,weak_update:instance:g04-drop-reference,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g05-normal-only-cleanup,5,normal-only-cleanup,只在正常出口清理会留下异常义务,without_identity,manual_fixture,close_obligation,unknown,,"[""weak_update:instance:g05-normal-only-cleanup""]",obligation_gap,,False,True,weak_update:instance:g05-normal-only-cleanup,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g05-all-exit-cleanup,5,all-exit-cleanup,正常和异常出口均满足关闭义务,without_identity,manual_fixture,close_obligation,unknown,,"[""weak_update:instance:g05-all-exit-cleanup""]",bounded,0,False,True,weak_update:instance:g05-all-exit-cleanup,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g06-request-inline,6,request-inline,请求内执行在请求出口解除持有,without_identity,manual_fixture,held_instances,unknown,,"[""weak_update:instance:g06-request-inline""]",bounded,0,False,True,weak_update:instance:g06-request-inline,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g06-task-transfer,6,task-transfer,明确任务移交后由完成事件解除捕获,without_identity,manual_fixture,held_instances,unknown,,"[""weak_update:instance:g06-task-transfer""]",bounded,0,False,True,weak_update:instance:g06-task-transfer,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g07-task-dequeue,7,task-dequeue,任务出队只是阶段变化，任务仍持有捕获,without_identity,manual_fixture,held_instances,unknown,,"[""no_verified_count_invariant""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g07-task-complete,7,task-complete,任务完成按可信契约解除捕获,without_identity,manual_fixture,held_instances,unknown,,"[""weak_update:instance:g07-task-complete""]",bounded,0,False,True,weak_update:instance:g07-task-complete,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g08-submit-success,8,submit-success,提交成功建立任务捕获,without_identity,manual_fixture,held_instances,unknown,,"[""no_verified_count_invariant""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g08-submit-rejected,8,submit-rejected,拒绝提交分支不建立任务捕获,without_identity,manual_fixture,held_instances,unknown,,"[""weak_update:instance:g08-submit-rejected""]",bounded,0,False,True,weak_update:instance:g08-submit-rejected,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g09-fixed-replacement,9,fixed-replacement,固定槽位替换由容量一契约限制,without_identity,manual_fixture,held_instances,bounded,1,[],bounded,1,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g09-retain-new-item,9,retain-new-item,保留新项且无容量契约不能证明上界,without_identity,manual_fixture,held_instances,unknown,,"[""no_verified_count_invariant""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g10-atomic-capacity,10,atomic-capacity,已验证原子容量支持局部上界,without_identity,manual_fixture,held_instances,bounded,4,[],bounded,4,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g10-non-atomic-check,10,non-atomic-check,普通 check-then-add 不证明并发容量,without_identity,manual_fixture,held_instances,unknown,,"[""capacity_not_atomic"",""queue_writer_structure_unverified""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g11-known-item-size,11,known-item-size,个数和单项大小分别具有上界,without_identity,manual_fixture,item_size_bytes,bounded,1024,[],bounded,1024,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g11-unknown-item-size,11,unknown-item-size,个数有界不能掩盖单项大小未知,without_identity,manual_fixture,item_size_bytes,unknown,,"[""item_size_unknown""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g12-known-contract,12,known-contract,完整可信契约支持任务完成后解除,without_identity,manual_fixture,held_instances,unknown,,"[""weak_update:instance:g12-known-contract""]",bounded,0,False,True,weak_update:instance:g12-known-contract,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g12-unknown-call,12,unknown-call,未知调用或取消保持相关状态并降级 unknown,without_identity,manual_fixture,held_instances,unknown,,"[""unknown_call:effect:g12-unknown-call:normal:2""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g01-method-local-end,1,method-local-end,方法内持有在返回前解除,without_cross_event,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g01-extra-field-hold,1,extra-field-hold,方法返回后字段仍持有资源,without_cross_event,manual_fixture,held_instances,unknown,,"[""no_verified_count_invariant""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g02-single-holder-drop,2,single-holder,唯一持有边被精确删除,without_cross_event,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g02-multiple-holder-drop,2,multiple-holders,删除请求边不删除字段边,without_cross_event,manual_fixture,held_instances,unknown,,"[""no_verified_count_invariant""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g03-unique-instance,3,unique-instance,recent exact 实例允许强更新,without_cross_event,manual_fixture,close_obligation,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g03-summary-instance,3,summary-instance,summary 实例的一次释放只能弱更新,without_cross_event,manual_fixture,close_obligation,unknown,,"[""weak_update:instance:g03-summary-instance""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g04-close-handle,4,close-handle,close 满足显式关闭义务,without_cross_event,manual_fixture,close_obligation,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g04-drop-reference,4,drop-reference,解除堆引用不等于 close,without_cross_event,manual_fixture,close_obligation,obligation_gap,,"[""open_obligation_at_exit""]",obligation_gap,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g05-normal-only-cleanup,5,normal-only-cleanup,只在正常出口清理会留下异常义务,without_cross_event,manual_fixture,close_obligation,obligation_gap,,"[""open_obligation_at_exit""]",obligation_gap,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g05-all-exit-cleanup,5,all-exit-cleanup,正常和异常出口均满足关闭义务,without_cross_event,manual_fixture,close_obligation,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g06-request-inline,6,request-inline,请求内执行在请求出口解除持有,without_cross_event,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g06-task-transfer,6,task-transfer,明确任务移交后由完成事件解除捕获,without_cross_event,manual_fixture,held_instances,unknown,,"[""coverage_incomplete"",""exit_state_missing:event:normal""]",bounded,0,False,True,coverage_incomplete;exit_state_missing:event:normal,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g07-task-dequeue,7,task-dequeue,任务出队只是阶段变化，任务仍持有捕获,without_cross_event,manual_fixture,held_instances,unknown,,"[""coverage_incomplete"",""exit_state_missing:event:task_run""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g07-task-complete,7,task-complete,任务完成按可信契约解除捕获,without_cross_event,manual_fixture,held_instances,unknown,,"[""coverage_incomplete"",""exit_state_missing:event:normal""]",bounded,0,False,True,coverage_incomplete;exit_state_missing:event:normal,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g08-submit-success,8,submit-success,提交成功建立任务捕获,without_cross_event,manual_fixture,held_instances,unknown,,"[""coverage_incomplete"",""exit_state_missing:event:normal""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g08-submit-rejected,8,submit-rejected,拒绝提交分支不建立任务捕获,without_cross_event,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g09-fixed-replacement,9,fixed-replacement,固定槽位替换由容量一契约限制,without_cross_event,manual_fixture,held_instances,bounded,1,[],bounded,1,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g09-retain-new-item,9,retain-new-item,保留新项且无容量契约不能证明上界,without_cross_event,manual_fixture,held_instances,unknown,,"[""no_verified_count_invariant""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g10-atomic-capacity,10,atomic-capacity,已验证原子容量支持局部上界,without_cross_event,manual_fixture,held_instances,bounded,4,[],bounded,4,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g10-non-atomic-check,10,non-atomic-check,普通 check-then-add 不证明并发容量,without_cross_event,manual_fixture,held_instances,unknown,,"[""capacity_not_atomic"",""queue_writer_structure_unverified""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g11-known-item-size,11,known-item-size,个数和单项大小分别具有上界,without_cross_event,manual_fixture,item_size_bytes,bounded,1024,[],bounded,1024,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g11-unknown-item-size,11,unknown-item-size,个数有界不能掩盖单项大小未知,without_cross_event,manual_fixture,item_size_bytes,unknown,,"[""item_size_unknown""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g12-known-contract,12,known-contract,完整可信契约支持任务完成后解除,without_cross_event,manual_fixture,held_instances,unknown,,"[""coverage_incomplete"",""exit_state_missing:event:normal""]",bounded,0,False,True,coverage_incomplete;exit_state_missing:event:normal,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g12-unknown-call,12,unknown-call,未知调用或取消保持相关状态并降级 unknown,without_cross_event,manual_fixture,held_instances,unknown,,"[""coverage_incomplete"",""exit_state_missing:event:normal""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g01-method-local-end,1,method-local-end,方法内持有在返回前解除,without_scope,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g01-extra-field-hold,1,extra-field-hold,方法返回后字段仍持有资源,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:field"",""holder_scope_identity_unknown:holder:request""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g02-single-holder-drop,2,single-holder,唯一持有边被精确删除,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:field""]",bounded,0,False,True,holder_scope_identity_unknown:holder:field,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g02-multiple-holder-drop,2,multiple-holders,删除请求边不删除字段边,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:field"",""holder_scope_identity_unknown:holder:request""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g03-unique-instance,3,unique-instance,recent exact 实例允许强更新,without_scope,manual_fixture,close_obligation,unknown,,"[""holder_scope_identity_unknown:holder:field""]",bounded,0,False,True,holder_scope_identity_unknown:holder:field,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g03-summary-instance,3,summary-instance,summary 实例的一次释放只能弱更新,without_scope,manual_fixture,close_obligation,unknown,,"[""holder_scope_identity_unknown:holder:field"",""weak_update:instance:g03-summary-instance""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g04-close-handle,4,close-handle,close 满足显式关闭义务,without_scope,manual_fixture,close_obligation,unknown,,"[""holder_scope_identity_unknown:holder:field""]",bounded,0,False,True,holder_scope_identity_unknown:holder:field,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g04-drop-reference,4,drop-reference,解除堆引用不等于 close,without_scope,manual_fixture,close_obligation,unknown,,"[""holder_scope_identity_unknown:holder:field""]",obligation_gap,,False,True,holder_scope_identity_unknown:holder:field,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g05-normal-only-cleanup,5,normal-only-cleanup,只在正常出口清理会留下异常义务,without_scope,manual_fixture,close_obligation,obligation_gap,,"[""open_obligation_at_exit""]",obligation_gap,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g05-all-exit-cleanup,5,all-exit-cleanup,正常和异常出口均满足关闭义务,without_scope,manual_fixture,close_obligation,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g06-request-inline,6,request-inline,请求内执行在请求出口解除持有,without_scope,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g06-task-transfer,6,task-transfer,明确任务移交后由完成事件解除捕获,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:request"",""holder_scope_identity_unknown:holder:task""]",bounded,0,False,True,holder_scope_identity_unknown:holder:request;holder_scope_identity_unknown:holder:task,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g07-task-dequeue,7,task-dequeue,任务出队只是阶段变化，任务仍持有捕获,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:task""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g07-task-complete,7,task-complete,任务完成按可信契约解除捕获,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:task""]",bounded,0,False,True,holder_scope_identity_unknown:holder:task,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g08-submit-success,8,submit-success,提交成功建立任务捕获,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:task""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g08-submit-rejected,8,submit-rejected,拒绝提交分支不建立任务捕获,without_scope,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g09-fixed-replacement,9,fixed-replacement,固定槽位替换由容量一契约限制,without_scope,manual_fixture,held_instances,unknown,,"[""fixed_replacement_structure_unverified"",""holder_scope_identity_unknown:holder:field""]",bounded,1,False,True,fixed_replacement_structure_unverified;holder_scope_identity_unknown:holder:field,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g09-retain-new-item,9,retain-new-item,保留新项且无容量契约不能证明上界,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:container""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g10-atomic-capacity,10,atomic-capacity,已验证原子容量支持局部上界,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:task""]",bounded,4,False,True,holder_scope_identity_unknown:holder:task,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g10-non-atomic-check,10,non-atomic-check,普通 check-then-add 不证明并发容量,without_scope,manual_fixture,held_instances,unknown,,"[""capacity_not_atomic"",""holder_scope_identity_unknown:holder:container"",""queue_writer_structure_unverified""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g11-known-item-size,11,known-item-size,个数和单项大小分别具有上界,without_scope,manual_fixture,item_size_bytes,unknown,,"[""holder_scope_identity_unknown:holder:task""]",bounded,1024,False,True,holder_scope_identity_unknown:holder:task,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g11-unknown-item-size,11,unknown-item-size,个数有界不能掩盖单项大小未知,without_scope,manual_fixture,item_size_bytes,unknown,,"[""holder_scope_identity_unknown:holder:task""]",unknown,,False,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g12-known-contract,12,known-contract,完整可信契约支持任务完成后解除,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:task""]",bounded,0,False,True,holder_scope_identity_unknown:holder:task,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g12-unknown-call,12,unknown-call,未知调用或取消保持相关状态并降级 unknown,without_scope,manual_fixture,held_instances,unknown,,"[""holder_scope_identity_unknown:holder:task"",""unknown_call:effect:g12-unknown-call:normal:2""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g01-method-local-end,1,method-local-end,方法内持有在返回前解除,without_exit_coverage,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g01-extra-field-hold,1,extra-field-hold,方法返回后字段仍持有资源,without_exit_coverage,manual_fixture,held_instances,unknown,,"[""no_verified_count_invariant""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g02-single-holder-drop,2,single-holder,唯一持有边被精确删除,without_exit_coverage,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g02-multiple-holder-drop,2,multiple-holders,删除请求边不删除字段边,without_exit_coverage,manual_fixture,held_instances,unknown,,"[""no_verified_count_invariant""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g03-unique-instance,3,unique-instance,recent exact 实例允许强更新,without_exit_coverage,manual_fixture,close_obligation,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g03-summary-instance,3,summary-instance,summary 实例的一次释放只能弱更新,without_exit_coverage,manual_fixture,close_obligation,unknown,,"[""weak_update:instance:g03-summary-instance""]",unknown,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g04-close-handle,4,close-handle,close 满足显式关闭义务,without_exit_coverage,manual_fixture,close_obligation,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g04-drop-reference,4,drop-reference,解除堆引用不等于 close,without_exit_coverage,manual_fixture,close_obligation,obligation_gap,,"[""open_obligation_at_exit""]",obligation_gap,,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g05-normal-only-cleanup,5,normal-only-cleanup,只在正常出口清理会留下异常义务,without_exit_coverage,manual_fixture,close_obligation,unknown,,"[""coverage_incomplete"",""exit_state_missing:event:error""]",obligation_gap,,False,True,coverage_incomplete;exit_state_missing:event:error,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g05-all-exit-cleanup,5,all-exit-cleanup,正常和异常出口均满足关闭义务,without_exit_coverage,manual_fixture,close_obligation,unknown,,"[""coverage_incomplete"",""exit_state_missing:event:error""]",bounded,0,False,True,coverage_incomplete;exit_state_missing:event:error,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g06-request-inline,6,request-inline,请求内执行在请求出口解除持有,without_exit_coverage,manual_fixture,held_instances,bounded,0,[],bounded,0,True,False,unchanged,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
g06-task-transfer,6,task-transfer,明确任务移交后由完成事件解除捕获,without_exit_coverage,manual_fixture,held_instances,unknown,,"[""coverage_incomplete"",""exit_state_missing:event:normal""]",bounded,0,False,True,coverage_incomplete;exit_state_missing:event:normal,8506931faf8971684931102d1c41e7f91a4f32e533a183d24477706c93334411
